Grado en Economía,Facultad de CC. Económ. y Empresariales,Estudios Aplicados de Sectores Económicos y Estructuras de Mercados,1560039
Grado en Economía,Facultad de CC. Económ. y Empresariales,Fiscalidad Internacional,1560040
Grado en Economía,Facultad de CC. Económ. y Empresariales,Historia del Pensamiento Económico,1560041
Grado en Economía,Facultad de CC. Económ. y Empresariales,Historia Económica de Andalucía Contemporánea,1560042
Grado en Economía,Facultad de CC. Económ. y Empresariales,Macroeconomía IV,1560043
Grado en Economía,Facultad de CC. Económ. y Empresariales,Matemáticas de las Operaciones Financieras,1560044
Grado en Economía,Facultad de CC. Económ. y Empresariales,Modelos Dinámicos Económicos,1560045
Grado en Economía,Facultad de CC. Económ. y Empresariales,Organización Económica Internacional,1560046
Grado en Economía,Facultad de CC. Económ. y Empresariales,Política Económica Territorial,1560047
Grado en Economía,Facultad de CC. Económ. y Empresariales,Banca y Mercados Financieros Internacionales,1560050
Grado en Economía,Facultad de CC. Económ. y Empresariales,Econometría Aplicada con Herramientas Informáticas,1560051
Grado en Economía,Facultad de CC. Económ. y Empresariales,Métodos de Decisión y Teoría de Juegos,1560054
Grado en Economía,Facultad de CC. Económ. y Empresariales,Economía Pública I,1560055
Grado en Economía,Facultad de CC. Económ. y Empresariales,Economía Pública II,1560056
Grado en Economía,Facultad de CC. Económ. y Empresariales,Economía Pública III. Federalismo Fiscal y Sector Público en Situaciones de Crisis,1560057
Grado en Economía,Facultad de CC. Económ. y Empresariales,Economía de la Energía y de los Recursos Naturales,1560058
Grado en Enfermería,"Facultad de Enfermería, Fisioterapia y Podología",Anatomía Humana,1570001
Grado en Enfermería,"Facultad de Enfermería, Fisioterapia y Podología",Bioquímica y Biología Molecular,1570002
Grado en Enfermería,"Facultad de Enfermería, Fisioterapia y Podología",Enfermería Psicosocial,1570003
Grado en Enfermería,"Facultad de Enfermería, Fisioterapia y Podología",Estadística y Tecnología de la Información y Comunicación,1570004
Grado en Enfermería,"Facultad de Enfermería, Fisioterapia y Podología",Farmacología Clínica,1570005
Grado en Enfermería,"Facultad de Enfermería, Fisioterapia y Podología",Fisiología,1570006
Grado en Enfermería,"Facultad de Enfermería, Fisioterapia y Podología",Fisiopatología,1570007
Grado en Enfermería,"Facultad de Enfermería, Fisioterapia y Podología",Género y Salud,1570008
Grado en Enfermería,"Facultad de Enfermería, Fisioterapia y Podología","Historia, Teoría y Métodos de la Enfermería I",1570009
Grado en Enfermería,"Facultad de Enfermería, Fisioterapia y Podología",Promoción de la Salud,1570010
Grado en Enfermería,"Facultad de Enfermería, Fisioterapia y Podología",Enfermería Clínica I,1570011
Grado en Enfermería,"Facultad de Enfermería, Fisioterapia y Podología",Enfermería Clínica II,1570012
Grado en Enfermería,"Facultad de Enfermería, Fisioterapia y Podología",Enfermería de la Infancia y la Adolescencia,1570013
Grado en Enfermería,"Facultad de Enfermería, Fisioterapia y Podología",Enfermería en la Salud Reproductiva,1570014
Grado en Enfermería,"Facultad de Enfermería, Fisioterapia y Podología",Enfermería Familiar y Comunitaria,1570015
Grado en Enfermería,"Facultad de Enfermería, Fisioterapia y Podología","Historia, Teoría y Métodos de la Enfermería II",1570016
Grado en Enfermería,"Facultad de Enfermería, Fisioterapia y Podología",Soporte Vital,1570018
Grado en Enfermería,"Facultad de Enfermería, Fisioterapia y Podología","Terapéutica Enfermera, Alimentación y Cuidados",1570019
Grado en Enfermería,"Facultad de Enfermería, Fisioterapia y Podología",Cuidados Críticos y Paliativos,1570020
Grado en Enfermería,"Facultad de Enfermería, Fisioterapia y Podología",Enfermería Clínica y Problemas Bioéticos,1570021
Grado en Enfermería,"Facultad de Enfermería, Fisioterapia y Podología",Enfermería de Salud Mental,1570022
Grado en Enfermería,"Facultad de Enfermería, Fisioterapia y Podología",Enfermería del Adulto en el Ámbito Comunitario,1570023
Grado en Enfermería,"Facultad de Enfermería, Fisioterapia y Podología",Enfermería del Envejecimiento,1570024
Grado en Enfermería,"Facultad de Enfermería, Fisioterapia y Podología",Ética y Gestión de Enfermería,1570025
Grado en Enfermería,"Facultad de Enfermería, Fisioterapia y Podología",Adolescencia y Riesgo,1570028
Grado en Enfermería,"Facultad de Enfermería, Fisioterapia y Podología",Atención a Múltiples Víctimas y Ayuda Humanitaria,1570029
Grado en Enfermería,"Facultad de Enfermería, Fisioterapia y Podología",Principios de Fisioterapia Aplicados a la Enfermería,1570032
Grado en Enfermería,"Facultad de Enfermería, Fisioterapia y Podología",Sociología de la Salud,1570035
Grado en Enfermería,"Facultad de Enfermería, Fisioterapia y Podología",Terapias Alternativas en Cuidados de Salud,1570036
Grado en Farmacia,Facultad de Farmacia,Biofarmacia y Farmacocinética,1580041
Grado en Farmacia,Facultad de Farmacia,Biotecnología Farmacéutica,1580042
Grado en Farmacia,Facultad de Farmacia,Farmacognosia,1580043
Grado en Farmacia,Facultad de Farmacia,Farmacología y Farmacoterapia I,1580044
Grado en Farmacia,Facultad de Farmacia,Farmacología y Farmacoterapia II,1580045
Grado en Farmacia,Facultad de Farmacia,Laboratorio de Farmacia,1580046
Grado en Farmacia,Facultad de Farmacia,Química Farmacéutica I,1580047
Grado en Farmacia,Facultad de Farmacia,Salud Pública,1580048
Grado en Farmacia,Facultad de Farmacia,Tecnología Farmacéutica II,1580049
Grado en Farmacia,Facultad de Farmacia,Atención Farmacéutica y Medicamentos y Práctica Sanitaria,1580050
Grado en Farmacia,Facultad de Farmacia,Farmacología y Farmacoterapia III y Farmacia Clínica,1580051
Grado en Farmacia,Facultad de Farmacia,"Legislación, Gestión y Planificación Farmacéutica",1580052
Grado en Farmacia,Facultad de Farmacia,Microbiología y Parasitología Clínica,1580053
Grado en Farmacia,Facultad de Farmacia,Química Farmacéutica II,1580056
Grado en Filología Hispánica,Facultad de Filología,Idioma Moderno I (Alemán),1590001
Grado en Filología Hispánica,Facultad de Filología,Idioma Moderno I (Árabe),1590002
Grado en Filología Hispánica,Facultad de Filología,Idioma Moderno I (Francés),1590003
Grado en Filología Hispánica,Facultad de Filología,Idioma Moderno I (Inglés),1590004
Grado en Filología Hispánica,Facultad de Filología,Idioma Moderno I (Italiano),1590005
Grado en Filología Hispánica,Facultad de Filología,Idioma Moderno I (Neerlandés - Holandés),1590006
Grado en Filología Hispánica,Facultad de Filología,Lengua Clásica (Griego),1590007
Grado en Filología Hispánica,Facultad de Filología,Lengua Clásica (Latín),1590008
Grado en Filología Hispánica,Facultad de Filología,Lengua Española I,1590009
Grado en Filología Hispánica,Facultad de Filología,Lengua Española II,1590010
Grado en Filología Hispánica,Facultad de Filología,Lingüística,1590011
Grado en Filología Hispánica,Facultad de Filología,Literatura Española del Siglo XVI,1590012
Grado en Filología Hispánica,Facultad de Filología,Literatura Española Medieval,1590013
Grado en Filología Hispánica,Facultad de Filología,Literatura Hispanoamericana I (De la Colonia al Modernismo),1590014
Grado en Filología Hispánica,Facultad de Filología,Teoría de la Literatura,1590015
Grado en Filología Hispánica,Facultad de Filología,Cervantes,1590016
Grado en Filología Hispánica,Facultad de Filología,Crítica Literaria,1590017
Grado en Filología Hispánica,Facultad de Filología,Gramática Histórica del Español,1590018
Grado en Filología Hispánica,Facultad de Filología,Idioma Moderno II (Alemán),1590019
Grado en Filología Hispánica,Facultad de Filología,Idioma Moderno II (Árabe),1590020
Grado en Filología Hispánica,Facultad de Filología,Idioma Moderno II (Francés),1590021
Grado en Filología Hispánica,Facultad de Filología,Idioma Moderno II (Inglés),1590022
Grado en Filología Hispánica,Facultad de Filología,Idioma Moderno II (Italiano),1590023
Grado en Filología Hispánica,Facultad de Filología,Idioma Moderno II (Neerlandés - Holandés),1590024
Grado en Filología Hispánica,Facultad de Filología,Las Lenguas del Mundo,1590025
Grado en Filología Hispánica,Facultad de Filología,"Lexicología, Lexicografía y Semántica del Español",1590026
Grado en Filología Hispánica,Facultad de Filología,Literatura Española del Siglo XVII,1590027
Grado en Filología Hispánica,Facultad de Filología,Literatura Española del Siglo XVIII,1590028
Grado en Filología Hispánica,Facultad de Filología,Literatura Hispanoamericana II (siglos XX-XXI),1590029
Grado en Filología Hispánica,Facultad de Filología,Análisis del Discurso y Pragmática del Español,1590030
Grado en Filología Hispánica,Facultad de Filología,Crítica Textual Aplicada a la Literatura Española,1590031
Grado en Filología Hispánica,Facultad de Filología,Curso Monográfico de Ensayo Hispanoamericano,1590032
Grado en Filología Hispánica,Facultad de Filología,Curso Monográfico de Literatura Española Medieval,1590033
Grado en Filología Hispánica,Facultad de Filología,Curso Monográfico de Poesía Hispanoamericana,1590034
Grado en Filología Hispánica,Facultad de Filología,Dialectología Hispánica y Variedades del Español,1590035
Grado en Filología Hispánica,Facultad de Filología,El Andaluz: Historia y Situación Actual,1590036
Grado en Filología Hispánica,Facultad de Filología,El Español de América,1590037
Grado en Filología Hispánica,Facultad de Filología,Historia del Español I (Antigüedad y Edad Media),1590038
Grado en Filología Hispánica,Facultad de Filología,Historia del Español II (Siglo de Oro y Época Moderna),1590039
Grado en Filología Hispánica,Facultad de Filología,Lingüística Aplicada,1590040
Grado en Filología Hispánica,Facultad de Filología,Literatura Española del Siglo XIX,1590041
Grado en Filología Hispánica,Facultad de Filología,Literatura Española del Siglo XX,1590042
Grado en Filología Hispánica,Facultad de Filología,Principios de Literatura Comparada,1590043
Grado en Filología Hispánica,Facultad de Filología,Análisis Filológico de Textos Hispánicos,1590044
Grado en Filología Hispánica,Facultad de Filología,Análisis Lingüístico de Textos del Español Actual,1590045
Grado en Filología Hispánica,Facultad de Filología,Curso Monográfico de Literatura Española del Siglo XIX,1590046
Grado en Filología Hispánica,Facultad de Filología,Curso Monográfico de Literatura Española del Siglo XVI,1590047
Grado en Filología Hispánica,Facultad de Filología,Curso Monográfico de Literatura Española del Siglo XVII,1590048
Grado en Filología Hispánica,Facultad de Filología,Curso Monográfico de Literatura Española del Siglo XVIII,1590049
Grado en Filología Hispánica,Facultad de Filología,Curso Monográfico de Literatura Española del Siglo XX,1590050
